phone_number,email,credit_score,age_group,family_background,income,education_level,employment_type,website_engagement_score,last_contact_date,intent_score,intent_binary
(925)991-3651,kclark@example.net,699,56+,Married with Kids,52858,Master's,Full-time,33,2025-06-13,76,1
2304299228,jacksonsandra@example.net,663,36-45,Single,24280,High School,Full-time,27,2025-07-05,80,1
+1-890-441-3797x723,cindydixon@example.org,609,26-35,Married,28577,High School,Full-time,69,2025-05-24,94,1
879-491-3662x10388,thompsonrachel@example.net,675,36-45,Single,102140,Professional,Full-time,55,2025-01-21,93,1
+1-881-817-2980,nancy86@example.org,603,36-45,Divorced,18899,Bachelor's,Part-time,22,2025-07-01,40,0
865.699.1624x7314,adammanning@example.org,698,56+,Married with Kids,55580,Master's,Full-time,69,2025-04-28,100,1
480-863-5651,jose86@example.net,559,18-25,Married,28099,Bachelor's,Full-time,43,2025-03-20,43,0
663-668-8725x887,kim62@example.net,648,18-25,Married,15000,Professional,Part-time,43,2025-02-04,43,0
272.413.8658,aoconnell@example.org,676,36-45,Divorced,15000,Master's,Unemployed,32,2025-06-11,55,0
696.211.4351x9066,daniellegonzales@example.org,601,18-25,Married,25061,Bachelor's,Full-time,47,2025-06-16,43,0
443.309.8839x20530,kimberly56@example.com,724,26-35,Married with Kids,56590,Master's,Self-employed,47,2025-04-29,100,1
901.818.4895x54393,greenrichard@example.org,664,26-35,Married with Kids,58676,Bachelor's,Self-employed,62,2025-04-24,100,1
745.918.4894x76973,bmosley@example.com,681,26-35,Married with Kids,23575,Bachelor's,Part-time,48,2025-02-03,85,1
263-635-6588,justinross@example.net,773,36-45,Single,125378,PhD,Full-time,51,2025-06-10,100,1
482-575-5394,pmclaughlin@example.net,641,36-45,Married,19646,Master's,Part-time,64,2025-02-26,77,1
233-233-9521x117,uwatson@example.com,715,46-55,Single,81471,Bachelor's,Full-time,33,2025-06-24,78,1
001-447-228-4639,imendoza@example.org,658,18-25,Married,19369,High School,Full-time,53,2025-04-14,62,1
(727)718-7500x3691,jacob43@example.com,607,18-25,Widowed,15000,Bachelor's,Unemployed,28,2025-04-08,12,0
+1-955-427-6365x564,tiffanyparks@example.org,748,26-35,Married,68388,Bachelor's,Full-time,74,2025-05-23,100,1
486.863.2270,otaylor@example.net,664,36-45,Married,56973,Bachelor's,Full-time,35,2025-04-20,100,1
374-948-9061x20347,jordan58@example.net,651,36-45,Single,15000,Bachelor's,Part-time,66,2025-06-30,94,1
650-761-5939x982,emily77@example.org,648,36-45,Single,107598,Bachelor's,Full-time,63,2025-03-23,98,1
572-725-6996x1125,denise49@example.net,668,36-45,Divorced,54469,High School,Self-employed,59,2025-03-26,99,1
359.587.6220x234,randydavis@example.com,683,56+,Single,40134,Bachelor's,Retired,3,2025-04-22,43,0
8686114921,johnmitchell@example.net,761,26-35,Single,21018,Master's,Full-time,65,2025-02-05,86,1
420.905.5778x48728,omills@example.net,714,56+,Married,91001,Master's,Self-employed,52,2025-03-10,89,1
(278)231-7456x424,mauriceharrison@example.org,554,56+,Married,15000,Master's,Unemployed,54,2025-05-17,28,0
874.806.4930x8536,frankmclaughlin@example.com,608,18-25,Married,15000,Master's,Part-time,30,2025-06-12,25,0
641.863.8944,melissawhite@example.com,714,46-55,Single,37806,High School,Retired,40,2025-02-02,57,0
297.449.7350x208,campbelldavid@example.com,777,46-55,Single,148148,Master's,Self-employed,45,2025-05-24,100,1
912.707.3564,cterry@example.com,587,18-25,Married,16746,High School,Full-time,33,2025-01-28,36,0
001-520-846-1872x34601,cwright@example.org,691,46-55,Divorced,15000,High School,Retired,30,2025-04-06,45,0
001-918-637-6452x08814,michaelwilliams@example.net,657,46-55,Married with Kids,25368,High School,Full-time,33,2025-02-22,80,1
836-550-2491,novakbianca@example.net,602,46-55,Divorced,15000,Bachelor's,Unemployed,39,2025-04-09,24,0
+1-725-413-2719x500,martinezjesse@example.net,679,56+,Married with Kids,15000,Bachelor's,Part-time,72,2025-06-04,93,1
001-957-530-6524x07784,amymorris@example.com,612,18-25,Married with Kids,15000,High School,Part-time,60,2025-03-04,90,1
+1-282-818-2744x857,nicoleharvey@example.com,580,18-25,Married with Kids,23747,Bachelor's,Full-time,37,2025-06-02,57,0
451.686.3878,robert51@example.org,703,46-55,Married,44179,High School,Full-time,57,2025-04-18,73,1
302-220-3173,hbarrett@example.net,679,26-35,Single,38571,Bachelor's,Full-time,53,2025-05-20,77,1
705-839-1037x170,laura09@example.com,651,36-45,Divorced,38865,Bachelor's,Retired,13,2025-04-19,57,0
001-514-413-8113x8633,xreese@example.net,731,36-45,Married with Kids,54164,High School,Full-time,66,2025-04-27,100,1
+1-776-712-2868x52897,megan66@example.net,618,26-35,Single,22421,Master's,Part-time,50,2025-03-13,61,1
998.836.8457,barbertonya@example.net,666,36-45,Married,35597,High School,Full-time,58,2025-01-16,100,1
(440)343-3504,stevenseric@example.com,684,46-55,Divorced,25709,High School,Part-time,40,2025-03-21,51,0
001-533-344-1969,laura27@example.net,707,36-45,Single,15000,High School,Part-time,32,2025-05-20,81,1
794-809-6105,hconrad@example.org,712,46-55,Single,87860,PhD,Full-time,40,2025-05-28,71,1
+1-506-404-8058x925,nunezwendy@example.com,599,26-35,Married with Kids,29339,High School,Full-time,26,2025-05-29,70,1
001-781-336-4622,dduncan@example.net,698,36-45,Married with Kids,42283,High School,Full-time,47,2025-03-26,100,1
968-862-2783,annshea@example.net,723,46-55,Married with Kids,50478,Bachelor's,Retired,39,2025-02-27,80,1
746-759-1166,malikwheeler@example.org,538,18-25,Single,24502,Master's,Full-time,32,2025-06-01,30,0
(559)779-2703,katherinefarrell@example.org,793,46-55,Single,117562,PhD,Self-employed,15,2025-05-27,81,1
992.240.5147,jason83@example.org,661,18-25,Single,19892,High School,Full-time,30,2025-04-22,51,0
001-648-579-2069x80420,brian01@example.com,674,56+,Single,44372,Bachelor's,Full-time,49,2025-05-12,65,1
+1-351-404-6368x15798,vincentellis@example.net,637,36-45,Single,45993,Master's,Part-time,37,2025-01-17,43,0
784.757.6205,joel84@example.org,678,56+,Single,15000,Bachelor's,Unemployed,17,2025-05-06,45,0
(508)843-2562x1689,ashleysimmons@example.com,609,18-25,Widowed,48212,Bachelor's,Full-time,27,2025-06-26,29,0
478-423-2983x24826,carlos81@example.org,684,46-55,Married,40096,Bachelor's,Full-time,38,2025-03-12,82,1
(505)366-4742,jackfarmer@example.net,695,56+,Single,24987,Professional,Retired,60,2025-05-05,34,0
+1-999-739-3305x172,melissahenry@example.org,612,18-25,Married with Kids,54132,Professional,Full-time,35,2025-02-12,80,1
306.404.6333,fcamacho@example.net,681,36-45,Married with Kids,15000,High School,Part-time,87,2025-03-13,100,1
236.360.9656x999,cbryant@example.org,692,36-45,Single,26244,High School,Full-time,63,2025-04-17,79,1
(408)868-0347x6447,christie08@example.org,722,46-55,Single,114094,Bachelor's,Full-time,34,2025-04-07,78,1
+1-271-481-2982x6657,tgarza@example.org,706,26-35,Divorced,57973,Professional,Full-time,71,2025-06-21,90,1
345-821-1175,nicholasjames@example.org,716,56+,Widowed,39730,Bachelor's,Full-time,0,2025-06-27,48,0
001-922-622-0644,davidanderson@example.org,644,46-55,Single,15000,High School,Unemployed,23,2025-01-14,33,0
001-940-877-7809x73397,mmiller@example.org,706,56+,Married with Kids,74258,Bachelor's,Full-time,31,2025-02-27,75,1
+1-749-283-0220,melissaestrada@example.net,761,56+,Divorced,72130,PhD,Full-time,8,2025-03-08,67,1
401-962-2499,sarah14@example.com,670,36-45,Single,15748,Bachelor's,Self-employed,56,2025-03-21,90,1
(516)581-4721x4586,rodriguezjessica@example.net,645,26-35,Married with Kids,15000,Master's,Part-time,57,2025-04-19,81,1
779-446-9548,ostone@example.com,594,18-25,Married with Kids,16743,High School,Full-time,28,2025-04-12,42,0
(393)543-0107,vgutierrez@example.com,600,26-35,Single,42253,Master's,Retired,59,2025-04-24,57,0
+1-330-734-4144x8850,randy99@example.org,683,36-45,Married,20656,Bachelor's,Part-time,76,2025-06-12,85,1
955.777.0272,abowers@example.net,783,46-55,Widowed,138471,Master's,Full-time,41,2025-01-24,79,1
249.758.8039x55124,ksims@example.net,669,46-55,Single,108757,Master's,Full-time,55,2025-05-03,81,1
(991)545-0461,shannon43@example.net,709,46-55,Single,82741,Bachelor's,Full-time,48,2025-03-09,93,1
450-531-7807,sandra84@example.com,717,46-55,Married,50390,PhD,Part-time,57,2025-02-08,75,1
282-630-7681,mcdanielbrooke@example.org,671,26-35,Married,30559,Bachelor's,Retired,71,2025-03-14,93,1
5185409435,joshua57@example.net,729,56+,Married,60433,Bachelor's,Full-time,40,2025-02-04,76,1
(524)710-9881,joseph49@example.org,675,46-55,Single,29737,Master's,Retired,43,2025-02-13,58,0
395-887-0207x0160,mwhite@example.net,697,36-45,Widowed,50805,High School,Full-time,57,2025-05-07,81,1
001-379-954-5381x792,bryantgabrielle@example.net,642,36-45,Married,43159,High School,Self-employed,75,2025-05-31,88,1
233.329.4562x5577,erodriguez@example.com,704,46-55,Married with Kids,38180,Bachelor's,Part-time,39,2025-06-15,83,1
959-892-8161x5814,pallen@example.net,715,36-45,Single,32597,Bachelor's,Full-time,40,2025-02-11,92,1
361.953.9669x5832,vargassteven@example.net,644,18-25,Married with Kids,19951,Bachelor's,Full-time,42,2025-01-31,62,1
324.561.9196x570,paigeberger@example.net,623,56+,Married with Kids,23193,Master's,Part-time,38,2025-06-08,64,1
001-622-878-4699x73354,veronica90@example.net,608,26-35,Single,27265,Bachelor's,Retired,46,2025-07-10,39,0
(524)805-8008x5140,tgarrett@example.com,668,46-55,Married with Kids,38572,Bachelor's,Full-time,43,2025-03-28,78,1
(483)227-2386x56242,wongdouglas@example.com,645,26-35,Single,27500,Master's,Retired,41,2025-05-12,44,0
(912)867-9692,ocruz@example.org,657,36-45,Married with Kids,96986,Master's,Full-time,87,2025-03-31,100,1
7972384689,carrolljanet@example.org,670,26-35,Single,62933,Bachelor's,Self-employed,55,2025-04-28,78,1
001-912-384-7818x913,chloe58@example.org,714,46-55,Married with Kids,37846,Bachelor's,Full-time,53,2025-04-08,95,1
279.956.5442x09494,ashleydouglas@example.com,625,26-35,Married with Kids,15000,High School,Part-time,68,2025-06-08,81,1
+1-604-671-2814x429,alexis19@example.org,758,56+,Married,76243,Bachelor's,Full-time,35,2025-06-26,92,1
001-427-452-4372x8051,amullins@example.com,654,46-55,Single,15000,High School,Unemployed,16,2025-02-25,26,0
923.695.0410x276,wreese@example.net,602,18-25,Married,15000,Master's,Part-time,52,2025-02-25,50,0
+1-367-742-8604x76580,pbishop@example.com,709,56+,Married,17650,High School,Part-time,33,2025-03-15,55,0
714-296-7393x852,deckeralexander@example.org,586,26-35,Divorced,34389,Bachelor's,Full-time,54,2025-04-18,68,1
+1-375-334-4300x91093,gatesdavid@example.net,781,46-55,Married,74459,Master's,Full-time,74,2025-05-31,94,1
+1-692-412-4471x7465,ramirezbryan@example.com,691,56+,Single,57450,Master's,Full-time,30,2025-03-14,44,0
8444271739,irodriguez@example.com,661,18-25,Married,38342,PhD,Full-time,26,2025-02-22,65,1
+1-417-241-0119x4707,ortegajoseph@example.net,658,26-35,Single,38969,High School,Full-time,58,2025-03-14,87,1
(990)387-7661x8306,mathew46@example.org,663,18-25,Single,56541,Bachelor's,Full-time,9,2025-05-07,39,0
+1-515-685-1743x2806,omosley@example.net,695,46-55,Married with Kids,15000,Bachelor's,Unemployed,46,2025-03-19,46,0
973-820-3093,sparksdawn@example.com,802,56+,Divorced,36839,High School,Full-time,35,2025-04-20,62,1
400.550.5061x387,johnsondonald@example.net,663,46-55,Married with Kids,67912,PhD,Part-time,52,2025-01-17,86,1
+1-303-320-2041x792,crawfordlauren@example.org,682,26-35,Married with Kids,40721,High School,Full-time,46,2025-01-25,99,1
765.565.1982,watkinsmatthew@example.org,542,18-25,Single,15000,High School,Unemployed,26,2025-03-04,0,0
001-462-258-2739x02196,amiller@example.org,644,36-45,Married with Kids,24642,High School,Full-time,80,2025-06-29,100,1
001-594-467-2324x876,carlsonjennifer@example.net,685,36-45,Married,17748,Bachelor's,Part-time,25,2025-07-04,72,1
+1-545-960-8331x8195,joshualee@example.org,693,56+,Married with Kids,36118,Bachelor's,Full-time,31,2025-05-17,75,1
972.220.0543x6459,yangsara@example.org,624,46-55,Single,15000,Bachelor's,Unemployed,25,2025-02-11,26,0
7788113799,julievillanueva@example.org,765,46-55,Single,100747,Bachelor's,Full-time,44,2025-06-03,100,1
431-536-3631x79706,xthompson@example.org,710,46-55,Married with Kids,120933,Master's,Full-time,35,2025-04-06,100,1
654.435.2090,yorkstephen@example.org,680,56+,Divorced,68561,Bachelor's,Full-time,29,2025-05-30,69,1
349.829.2983,natkins@example.net,605,18-25,Divorced,24539,Bachelor's,Full-time,48,2025-04-09,44,0
240.863.3569x392,williamsthomas@example.net,631,36-45,Widowed,48563,Bachelor's,Full-time,40,2025-01-20,60,1
667.517.7318x06325,smithelizabeth@example.org,593,26-35,Married,27973,Master's,Part-time,61,2025-05-20,58,0
001-990-277-2625,cruzhannah@example.net,773,46-55,Married with Kids,79602,Bachelor's,Full-time,65,2025-01-19,100,1
(849)789-3195x08501,xharvey@example.com,716,46-55,Married,27851,High School,Part-time,38,2025-02-14,61,1
+1-918-532-5381,lukehurst@example.net,775,56+,Married with Kids,135898,PhD,Self-employed,57,2025-05-16,100,1
601-955-7788x178,lauren13@example.com,637,36-45,Single,17897,Bachelor's,Part-time,33,2025-01-29,47,0
(224)611-2412x7238,imontes@example.org,710,26-35,Married,49117,PhD,Full-time,72,2025-04-09,100,1
(970)943-1038x56955,itorres@example.com,744,46-55,Single,95691,Master's,Full-time,22,2025-02-13,67,1
437-654-0254x729,teresafranco@example.net,595,26-35,Married with Kids,39515,High School,Full-time,73,2025-06-25,93,1
(623)710-5927,jamiemann@example.net,603,46-55,Single,15000,High School,Part-time,35,2025-03-12,29,0
(425)978-2841x067,eric88@example.com,621,18-25,Married with Kids,15000,Bachelor's,Unemployed,50,2025-05-10,48,0
374-692-9751x7028,moralesmary@example.com,668,26-35,Married with Kids,38651,High School,Full-time,49,2025-03-19,97,1
809-539-8343x01871,mstewart@example.net,558,18-25,Married,51656,Master's,Full-time,54,2025-07-02,69,1
+1-356-526-5650x45547,afigueroa@example.com,745,46-55,Single,58373,Master's,Part-time,33,2025-03-06,75,1
001-366-829-9123x4785,smithdanielle@example.com,745,36-45,Widowed,58848,Master's,Full-time,57,2025-03-29,73,1
+1-979-223-2648,mary47@example.net,730,56+,Divorced,59382,Bachelor's,Full-time,21,2025-05-27,67,1
800.424.4714,pknox@example.org,717,36-45,Married with Kids,123924,Master's,Full-time,90,2025-01-19,100,1
001-247-619-5979x64715,bonniethomas@example.com,623,26-35,Single,68378,Master's,Full-time,79,2025-06-21,78,1
(652)604-5650,palmerkatie@example.org,752,46-55,Single,86215,High School,Self-employed,46,2025-05-31,98,1
+1-428-255-4451x895,aprilwatson@example.com,645,56+,Married,53619,Bachelor's,Full-time,50,2025-03-29,67,1
(313)828-3389,hmoon@example.org,666,36-45,Married with Kids,58668,Bachelor's,Full-time,67,2025-06-29,100,1
554.452.7985x2401,haileyparker@example.org,671,56+,Divorced,77275,Master's,Full-time,53,2025-02-06,74,1
361-210-7603,harrisonrebekah@example.org,698,56+,Single,29697,PhD,Part-time,22,2025-01-25,39,0
+1-701-719-3932x50124,melissanorman@example.net,642,56+,Married with Kids,15000,PhD,Student,42,2025-02-26,37,0
001-411-290-8334,glasssamantha@example.net,659,26-35,Single,30916,High School,Full-time,63,2025-04-09,72,1
001-892-371-2566x383,david18@example.org,585,26-35,Single,24223,High School,Full-time,43,2025-04-13,54,0
(648)901-5716x479,angelaroberts@example.com,606,26-35,Married with Kids,31202,High School,Full-time,73,2025-02-16,79,1
375-320-7167,ralphneal@example.org,673,46-55,Single,77345,Bachelor's,Full-time,38,2025-05-27,63,1
(515)835-3961,tramirez@example.net,576,18-25,Married,34738,Bachelor's,Self-employed,71,2025-04-30,53,0
001-965-979-6784x27114,courtneytaylor@example.org,630,36-45,Married with Kids,104657,Master's,Self-employed,70,2025-05-26,100,1
370-326-9524,msparks@example.com,662,26-35,Married,80382,Master's,Full-time,89,2025-05-13,100,1
784.885.8800x6167,cstevens@example.org,676,36-45,Married,66742,Bachelor's,Self-employed,93,2025-04-24,100,1
001-942-976-2467x19788,williammyers@example.com,638,36-45,Married with Kids,60609,High School,Full-time,68,2025-04-30,99,1
(295)745-0090x2559,wdavis@example.com,671,26-35,Single,26318,High School,Full-time,33,2025-03-29,72,1
3337349114,andrewnguyen@example.com,663,26-35,Married with Kids,60926,Bachelor's,Full-time,57,2025-05-12,100,1
(398)964-0790x56965,vazquezjamie@example.com,647,46-55,Single,15000,High School,Unemployed,38,2025-04-14,43,0
001-252-694-5637x18344,nballard@example.net,673,46-55,Single,69347,Bachelor's,Full-time,15,2025-07-05,62,1
001-791-395-4198x763,william46@example.net,661,26-35,Divorced,36807,Bachelor's,Full-time,8,2025-04-21,62,1
266.449.8782,vlewis@example.com,704,36-45,Widowed,68990,Master's,Full-time,52,2025-03-03,64,1
+1-689-869-0835x7232,eflores@example.net,735,36-45,Divorced,22485,Bachelor's,Full-time,45,2025-02-19,86,1
(644)924-9363x12303,bcastro@example.com,606,18-25,Married,17410,High School,Full-time,22,2025-05-10,54,0
4322420448,dcasey@example.org,663,26-35,Married,49104,Master's,Full-time,54,2025-03-11,93,1
616-951-6231x9818,youngdavid@example.com,780,46-55,Married with Kids,108089,PhD,Full-time,44,2025-03-14,100,1
001-663-963-2123,lking@example.org,647,26-35,Single,27795,Professional,Part-time,73,2025-04-12,71,1
(615)286-7342x575,skinnereileen@example.org,670,26-35,Married with Kids,15000,Professional,Unemployed,78,2025-05-18,98,1
+1-634-686-4518x37606,mayerkatherine@example.com,662,56+,Married,25407,Bachelor's,Full-time,59,2025-02-20,68,1
(875)760-4177,gmcdowell@example.org,626,56+,Single,15000,Bachelor's,Student,31,2025-05-19,0,0
815.569.8570x02720,lee11@example.org,725,26-35,Married,80028,Master's,Self-employed,60,2025-02-27,100,1
001-629-565-7724x295,perryhunter@example.com,618,36-45,Divorced,15000,PhD,Unemployed,37,2025-07-03,40,0
001-530-608-9317,brandonwilliamson@example.net,632,26-35,Married,59710,Bachelor's,Self-employed,37,2025-03-01,88,1
952-391-0867,jenniferlee@example.com,697,36-45,Single,76404,Bachelor's,Full-time,78,2025-03-06,94,1
262.663.9343x6262,joe73@example.com,742,46-55,Divorced,110997,Master's,Full-time,15,2025-04-28,74,1
+1-371-307-2563x6694,williamssarah@example.com,694,18-25,Married with Kids,25776,Master's,Full-time,67,2025-06-26,91,1
+1-290-404-8964x652,geoffrey75@example.com,551,18-25,Married with Kids,32319,Bachelor's,Full-time,50,2025-02-06,58,0
686-624-1502x74564,ryan25@example.net,649,46-55,Widowed,17961,Bachelor's,Retired,23,2025-07-12,50,0
001-928-870-3203x20742,carneysara@example.org,635,26-35,Married with Kids,59616,Bachelor's,Full-time,63,2025-04-03,100,1
